keyword,title,listing_url,item_number,sku,price,currency,min_order_quantity,max_order_quantity,description,seller_name,seller_profile_url,seller_rating,seller_total_reviews,seller_business_name,seller_country,seller_address,seller_email,scraped_at,last_updated
factory,High-QualityFactoryCustom Aluminum Die Casting for LED Light Fixtures,https://saintrich.en.made-in-china.com/product/SfLpEJdcIxhr/China-High-Quality-Factory-Custom-Aluminum-Die-Casting-for-LED-Light-Fixtures.html?ads_tp=ppc&ads_id=jQaEfzwKOnWk,,die,2.28,USD,100.0,,"High-QualityFactoryCustom Aluminum Die Casting for LED Light FixturesUS$ 2.28-6.98/ Piece100 Pieces(MOQ)Zhongshan Shengerfu Hardware Technology Co., Ltd.Zhongshan Shengerfu Hardware Technology Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO14001, OthersEnjoy trading protection from Made-in-China.comView larger video & image","Zhongshan Shengerfu Hardware Technology Co., Ltd.",https://saintrich.en.made-in-china.com?ads_tp=ppc&ads_id=jQaEfzwKOnWk,,,Factory & Trading Company,"Guangdong, China","No.18 Shunchang Road xiaolanTownship,Zhongshan, Guangdong",,2025-08-15T13:28:17.954862,
factory,VersatileFactoryInjection Machine for Tailored Mould Applications,https://saintrich.en.made-in-china.com/product/ZtPYgnFGuxcm/China-Versatile-Factory-Injection-Machine-for-Tailored-Mould-Applications.html?ads_tp=ppc&ads_id=jQaEfzwKOnWk,,mould,99.0,USD,1.0,,"VersatileFactoryInjection Machine for Tailored Mould ApplicationsUS$ 99-3500/ Piece1 Piece(MOQ)Zhongshan Shengerfu Hardware Technology Co., Ltd.Zhongshan Shengerfu Hardware Technology Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaManufacturer/Factory & Trading CompanyISO9001:2015, ISO14001, OthersView larger video & image","Zhongshan Shengerfu Hardware Technology Co., Ltd.",https://saintrich.en.made-in-china.com?ads_tp=ppc&ads_id=jQaEfzwKOnWk,,,Factory & Trading Company,"Guangdong, China","No.18 Shunchang Road xiaolanTownship,Zhongshan, Guangdong",,2025-08-15T13:28:21.847837,
factory,FactoryPrice Bottle Blowing Molding Machine / Pet Two-Stage Automatic Blow Moulding Machine,https://ecengmachinery.en.made-in-china.com/product/qShJjTZKEQUX/China-Factory-Price-Bottle-Blowing-Molding-Machine-Pet-Two-Stage-Automatic-Blow-Moulding-Machine.html?ads_tp=ppc&ads_id=zxTmgCydOnkY,8477300000,Q6000,5500.0,USD,1.0,,"CE certifiedvalid since 2023-02-20(contact issuer for current status)FactoryPrice Bottle Blowing Molding Machine / Pet Two-Stage Automatic Blow Moulding MachineUS$ 5500-35000/ Piece1 Piece(MOQ)Zhangjiagang Eceng Machinery Co., Ltd.Zhangjiagang Eceng Machinery Co., Ltd.Diamond MemberAudited SupplierSecured TradingJiangsu, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","Zhangjiagang Eceng Machinery Co., Ltd.",https://ecengmachinery.en.made-in-china.com?ads_tp=ppc&ads_id=zxTmgCydOnkY,,,Zhangjiagang Eceng Machinery Co.,"Province, China","No. 18. Xitang Road, Xizhang Town, Zhangjiagang City",,2025-08-15T13:28:26.783548,
factory,FactoryPrefabricated Steel Structure Shed / Canopy,https://dryczp.en.made-in-china.com/product/AdhGkrpJsLfO/China-Factory-Prefabricated-Steel-Structure-Shed-Canopy.html?ads_tp=ppc&ads_id=YmaEPidOqJkL,,DRSS-272,19.0,USD,,,"FactoryPrefabricated Steel Structure Shed / CanopyUS$ 19-49/ Square Meter100 Square Meters(MOQ)Dingrui Yongcheng Construction Engineering Co., LtdDingrui Yongcheng Construction Engineering Co., LtdDiamond MemberAudited SupplierShandong, ChinaManufacturer/Factory & Trading CompanyView larger video & image5(5.0)""Fast Delivery""Fast Delivery","Dingrui Yongcheng Construction Engineering Co., Ltd",https://dryczp.en.made-in-china.com?ads_tp=ppc&ads_id=YmaEPidOqJkL,5.0,5.0,Dingrui Yongcheng Construction Engineering Co.,"Shandong, China","Rm905, No. 8 Qinling Road, Qingdao",,2025-08-15T13:28:31.471731,
factory,FoshanFactoryCustomized Foldable Flat Pack Container Residential Container House Modular Ready Prefab House Portable Container House,https://gs-housing.en.made-in-china.com/product/gUeYuszlHahv/China-Foshan-Factory-Customized-Foldable-Flat-Pack-Container-Residential-Container-House-Modular-Ready-Prefab-House-Portable-Container-House.html?ads_tp=&ads_id=zjvGtasTHiIM,,Flat,1339.0,USD,1.0,,"CE certifiedvalid since 2024-04-24(contact issuer for current status)CE certifiedvalid since 2024-04-24(contact issuer for current status)FoshanFactoryCustomized Foldable Flat Pack Container Residential Container House Modular Ready Prefab House Portable Container HouseUS$ 1339-3599/ Piece1 Piece(MOQ)Orient Gs Housing International Engineering Co., Ltd.Orient Gs Housing International Engineering Co., Ltd.Diamond MemberAudited SupplierSecured TradingGuangdong, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","Orient Gs Housing International Engineering Co., Ltd.",https://gs-housing.en.made-in-china.com?ads_tp=&ads_id=zjvGtasTHiIM,,,Factory & Trading Company,"Guangdong, China","No. 540, Genghe Avenue West, Genghe Town",,2025-08-15T13:28:37.307926,
factory,FactoryDirect Sale 500kg Stackable Potato Chips Production Line,https://huanghankun.en.made-in-china.com/product/eNYJPmjVJgkE/China-Factory-Direct-Sale-500kg-Stackable-Potato-Chips-Production-Line.html,,ISO9001,,USD,1.0,,"FactoryDirect Sale 500kg Stackable Potato Chips Production Line1 Set(MOQ)Shantou Huaxing Machinery Factory Co., Ltd.Shantou Huaxing Machinery Factory Co., Ltd.Diamond MemberAudited SupplierGuangdong, ChinaView larger video & image",Shantou Huaxing Machinery,https://huanghankun.en.made-in-china.com,,,,"Guangdong, China","No. M1, Rongsheng Science Park, Daxue Road",,2025-08-15T13:28:42.089706,
factory,Best Seller Durable Chinese BrandFactoryDirect Sale Low Price Wheel Tractor,https://qingdaoforklift.en.made-in-china.com/product/udMaQPLJuoTf/China-Best-Seller-Durable-Chinese-Brand-Factory-Direct-Sale-Low-Price-Wheel-Tractor.html?ads_tp=&ads_id=hyitODprCIlk,8701931000,904,3800.0,USD,1.0,,"Best Seller Durable Chinese BrandFactoryDirect Sale Low Price Wheel TractorUS$ 3800-5800/ Piece1 Piece(MOQ)Qingdao Qingcha International Trading Co., Ltd.Qingdao Qingcha International Trading Co., Ltd.Diamond MemberAudited SupplierSecured TradingShandong, ChinaEnjoy trading protection from Made-in-China.comView larger video & image5(4.0)""On-time Delivery""On-time Delivery","Qingdao Qingcha International Trading Co., Ltd.",https://qingdaoforklift.en.made-in-china.com?ads_tp=&ads_id=hyitODprCIlk,4.0,4.0,,"Shandong, China","Intersection of Huibu Xingye Avenue and Xingguang Avenue in Xinhe Town, Pingdu City, Qingdao",,2025-08-15T13:28:54.911958,
factory,Small tractor supplier/factoryMini tractor price Fuel-efficient TA254 Series Wheeled Tractor for sale TA254-A9,https://selehezj.en.made-in-china.com/product/KEOUuFlHhcrQ/China-Small-tractor-supplier-factory-Mini-tractor-price-Fuel-efficient-TA254-Series-Wheeled-Tractor-for-sale-TA254-A9.html?ads_tp=&ads_id=PjKaAZNcAuiU,,TA254-A9,2911.58,USD,1.0,,"Small tractor supplier/factoryMini tractor price Fuel-efficient TA254 Series Wheeled Tractor for sale TA254-A9US$ 2911.58-3136.81/ Piece1 Piece(MOQ)Zhejiang SELEHE Agriculture Equipment Co., Ltd.Zhejiang SELEHE Agriculture Equipment Co., Ltd.Diamond MemberAudited SupplierZhejiang, ChinaManufacturer/Factory & Trading CompanyISO9001:2015View larger video & image","Zhejiang SELEHE Agriculture Equipment Co., Ltd.",https://selehezj.en.made-in-china.com?ads_tp=&ads_id=PjKaAZNcAuiU,,,SELEHE Co.,"Zhejiang, China","Selehe, Huangtang Industrial Zone, Dongcheng Street",,2025-08-15T13:28:59.952550,
factory,"FactoryPrice 4/6+1/8+1axis Servo Electro Hydraulic 160ton 4100mm Bending Machine CNC Sheet Metal Folding Automatic CNC Press Brake for Carbon,Steel,Mild,Ss,CS",https://cnhawe.en.made-in-china.com/product/RnspLITlaKUj/China-Factory-Price-4-6-1-8-1axis-Servo-Electro-Hydraulic-160ton-4100mm-Bending-Machine-CNC-Sheet-Metal-Folding-Automatic-CNC-Press-Brake-for-Carbon-Steel-Mild-Ss-CS.html,,HPA-160-4100,4000.0,USD,1.0,,"FactoryPrice 4/6+1/8+1axis Servo Electro Hydraulic 160ton 4100mm Bending Machine CNC Sheet Metal Folding Automatic CNC Press Brake for Carbon,Steel,Mild,Ss,CSUS$ 4000-12000/ Set1 Set(MOQ)Anhui Hawei Intelligent Equipment Co., Ltd.Anhui Hawei Intelligent Equipment Co., Ltd.Diamond MemberAudited SupplierSecured TradingAnhui, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","Anhui Hawei Intelligent Equipment Co., Ltd.",https://cnhawe.en.made-in-china.com,,,CNHAWE is a diversified modern enterprise that integrates manufacturing,"Anhui, China","Ma′anshan, Anhui, China",,2025-08-15T13:29:07.532249,
factory,"FactoryPrice 4+1/6+1 Axis Servo Electro Hydraulic Bending Machine CNC Sheet Metal Folding Automatic CNC Press Brake Machine for Carbon, Steel, Mild, Ss, CS.",https://vikenmachine.en.made-in-china.com/product/tfpYUjJAFbWT/China-Factory-Price-4-1-6-1-Axis-Servo-Electro-Hydraulic-Bending-Machine-CNC-Sheet-Metal-Folding-Automatic-CNC-Press-Brake-Machine-for-Carbon-Steel-Mild-Ss-CS-.html?ads_tp=&ads_id=SNXGmFCcriIa,8462299000,press,6500.0,USD,1.0,,"CE certifiedvalid since 2024-12-05(contact issuer for current status)FactoryPrice 4+1/6+1 Axis Servo Electro Hydraulic Bending Machine CNC Sheet Metal Folding Automatic CNC Press Brake Machine for Carbon, Steel, Mild, Ss, CS.US$ 6500-7800/ sets1 sets(MOQ)Anhui Viken Intelligent Equipment Manufacturing Co., Ltd.Anhui Viken Intelligent Equipment Manufacturing Co., Ltd.Diamond MemberAudited SupplierSecured TradingAnhui, ChinaManufacturer/Factory & Trading CompanyEnjoy trading protection from Made-in-China.comView larger video & image","Anhui Viken Intelligent Equipment Manufacturing Co., Ltd.",https://vikenmachine.en.made-in-china.com?ads_tp=&ads_id=SNXGmFCcriIa,,,Anhui Viken intelligent equipment manufacturing Company Limited,"Anhui, China","Ma′anshan, Anhui, China",,2025-08-15T13:29:13.156636,
